nombre,pos,rank_pos,edad,proj_mercado,g_proj,pg,eg,total_v2,vbd2,espn_id
Jadon Canady,CB,158,23,10.3,17.0,0.6,13.0,7.9,-142.4,4710706
Akayleb Evans,CB,159,27,10.1,17.0,0.59,13.0,7.7,-142.5,4244607
Kyle Williams,WR,133,24,23.8,17.0,1.4,12.4,17.3,-142.6,4613202
Jacob Rodriguez,LB,71,24,94.4,17.0,5.55,12.2,67.9,-142.9,4566094
Zayne Anderson,S,90,29,55.5,17.0,3.26,13.6,44.4,-143.1,3932335
Tez Johnson,WR,134,24,22.2,17.0,1.3,12.4,16.1,-143.8,4608810
Bud Clark,S,91,24,54.4,17.0,3.2,13.6,43.5,-143.9,4430262
Isaac Yiadom,CB,160,30,6.7,17.0,0.4,13.0,5.2,-145.0,3122797
Josh Hayes,CB,161,27,6.9,17.0,0.4,13.0,5.3,-145.0,4248533
Mitchell Tinsley,WR,136,27,20.2,17.0,1.19,12.4,14.7,-145.2,4690070
Siran Neal,CB,162,32,6.5,17.0,0.38,13.0,5.0,-145.2,3057524
Will Lee III,CB,163,23,6.2,17.0,0.37,13.0,4.8,-145.3,5151083
Hezekiah Masses,CB,164,22,6.2,17.0,0.37,13.0,4.8,-145.3,4917354
Dell Pettus,S,92,25,51.7,17.0,3.04,13.6,41.3,-146.1,4428232
Jalen Royals,WR,138,23,18.4,17.0,1.08,12.4,13.4,-146.6,5082630
Chris Roland-Wallace,S,118,25,13.6,17.0,0.8,11.3,9.1,-146.7,4428383
Tyrell Shavers,WR,139,27,11.5,11.0,1.04,12.4,12.9,-147.1,4241476
Kendell Brooks,S,119,26,12.0,17.0,0.71,11.3,8.0,-147.7,4585317
Calvin Austin III,WR,141,27,16.2,17.0,0.95,12.4,11.8,-148.2,4243389
Tatum Bethune,LB,72,25,86.9,17.0,5.11,12.2,62.5,-148.2,4426698
Elic Ayomanor,WR,142,23,16.0,17.0,0.94,12.4,11.6,-148.3,4883647
Malik Benson,WR,143,24,15.8,17.0,0.93,12.4,11.5,-148.4,5150247
Oren Burks,LB,73,31,86.4,17.0,5.08,12.2,62.2,-148.6,3051746
Ifeatu Melifonwu,S,93,27,45.8,17.0,2.69,13.6,36.6,-150.8,4240401
Shaka Heyward,LB,101,26,31.6,17.0,1.86,9.8,18.2,-150.9,4360413
Jordan Howden,S,94,26,45.6,17.0,2.68,13.6,36.4,-151.0,4360949
Ben Skowronek,WR,145,29,12.1,17.0,0.71,12.4,8.8,-151.2,4035656
Bo Melton,WR,146,27,11.4,17.0,0.67,12.4,8.3,-151.7,4259305
Devin White,LB,70,28,107.5,17.0,6.32,13.9,88.1,-152.1,4035434
Anthony Hill Jr.,LB,74,21,81.5,17.0,4.79,12.2,58.6,-152.1,4870805
Malik Harrison,LB,107,28,29.2,17.0,1.72,9.8,16.9,-152.3,4040615
Xavier Smith,WR,148,29,10.1,17.0,0.6,12.4,7.4,-152.5,4386544
Isaiah Williams,WR,149,25,10.1,17.0,0.6,12.4,7.4,-152.5,4569371
Colbie Young,WR,150,24,10.0,17.0,0.59,12.4,7.3,-152.6,5092508
CJ Daniels,WR,151,24,9.9,17.0,0.58,12.4,7.2,-152.8,4605951
Demarcus Robinson,WR,152,32,9.9,17.0,0.58,12.4,7.2,-152.8,3043116
Justin Watson,WR,154,30,9.0,17.0,0.53,12.4,6.5,-153.4,3118892
Jonathan Mingo,WR,155,25,8.8,17.0,0.52,12.4,6.4,-153.5,4426485
Tai Felton,WR,157,23,8.5,17.0,0.5,12.4,6.2,-153.8,4565185
Barion Brown,WR,160,23,7.9,17.0,0.46,12.4,5.7,-154.3,4698597
Reggie Virgil,WR,161,22,7.6,17.0,0.45,12.4,5.5,-154.4,4869132
Brycen Tremayne,WR,162,27,7.7,17.0,0.45,12.4,5.6,-154.4,4360763
Josiah Trotter,LB,75,21,78.2,17.0,4.6,12.2,56.2,-154.5,4870998
Jamal Adams,LB,76,31,77.9,17.0,4.59,12.2,56.1,-154.6,3115373
Kyle Dugger,S,96,30,40.7,17.0,2.4,13.6,32.6,-154.8,4401811
