nombre,pos,rank_pos,edad,pg,eg,total_v2,vbd2,espn_id,p10,p25,p50,p75,p90
Dre Greenlaw,LB,43,29,5.67,9.8,55.7,-14.0,3916903,11.8,25.8,50.2,80.2,120.9
Cam Hart,CB,53,26,4.22,13.0,55.1,-14.0,4427404,21.6,38.4,55.9,73.7,93.8
Jadeveon Clowney,DE,58,33,2.75,10.9,29.9,-14.3,16734,7.6,16.8,30.0,41.6,55.6
Isaiah Rodgers,CB,55,28,4.17,13.0,54.3,-14.7,4044540,22.1,37.1,55.7,73.7,92.4
Charvarius Ward,CB,56,30,4.17,13.0,54.4,-14.7,4037361,54.2,54.2,54.2,54.2,54.2
Riley Moss,CB,57,26,4.16,13.0,54.2,-14.8,4382401,23.1,38.6,55.2,74.1,92.6
Marcus Harris,CB,58,25,4.16,13.0,54.2,-14.8,4570469,22.8,38.5,54.9,71.4,92.2
Alex Anzalone,LB,39,32,5.88,12.2,72.0,-14.9,3043107,19.3,38.7,68.4,103.6,143.8
Dillon Thieneman,S,44,22,4.79,13.6,65.1,-15.1,4954445,65.1,65.1,65.1,65.1,65.1
Jaylon Johnson,CB,59,27,4.14,13.0,54.0,-15.1,4243253,53.8,53.8,53.8,53.8,53.8
J.K. Dobbins,RB,36,28,11.16,11.2,124.4,-15.2,4241985,20.2,52.6,112.7,189.8,279.4
Chris Johnson,CB,60,22,4.13,13.0,53.9,-15.2,4869579,53.7,53.7,53.7,53.7,53.7
Darius Alexander,DT,80,26,1.81,12.9,23.5,-15.2,4426542,9.9,16.3,23.4,31.5,40.6
Alfred Collins,DT,81,25,1.81,12.9,23.3,-15.2,4430835,10.4,16.3,23.8,32.1,41.4
Falcons D/ST,DST,27,,7.12,17.0,121.0,-15.3,-16001,121.0,121.0,121.0,121.0,121.0
Will McDonald IV,DE,51,27,2.92,13.4,39.0,-15.3,4361767,17.1,27.9,40.0,53.3,67.5
Warren Brinson,DT,94,24,1.55,10.7,16.6,-15.4,4429136,4.1,9.1,16.2,23.4,31.6
Kyle Monangai,RB,34,24,11.31,12.8,144.7,-15.5,4608686,38.1,74.0,136.5,207.7,302.6
Jalyx Hunt,DE,52,25,2.9,13.4,38.8,-15.5,4571162,17.4,27.2,38.3,51.2,66.2
Matt Gay,K,27,32,8.46,13.8,116.9,-15.6,4249087,39.9,82.4,126.6,160.6,201.6
Peter Woods,DT,82,21,1.78,12.9,23.0,-15.6,4871063,23.0,23.0,23.0,23.0,23.0
Kenneth Grant,DT,83,23,1.78,12.9,23.1,-15.6,4894654,10.6,16.4,23.1,30.6,39.5
Pat Freiermuth,TE,21,28,8.44,12.8,108.0,-15.7,4361411,32.8,59.1,102.0,161.7,236.0
Josh Sweat,DE,53,29,2.88,13.4,38.5,-15.8,3693166,16.9,26.7,38.5,51.9,65.7
Patrick Jones II,DE,54,28,2.88,13.4,38.5,-15.8,4036063,38.6,38.6,38.6,38.6,38.6
Jake Moody,K,29,27,8.44,13.8,116.6,-15.9,4372066,39.6,82.5,125.5,159.6,195.0
Khyiris Tonga,DT,84,30,1.76,12.9,22.8,-15.9,4256074,9.4,15.8,22.6,30.1,39.6
Quentin Johnston,WR,51,25,10.3,13.8,142.3,-16.0,4429025,47.1,90.9,137.5,182.6,225.9
Terrance Ferguson,TE,22,23,8.42,12.8,107.7,-16.0,4570037,33.0,62.1,109.3,166.2,249.3
Devin Lloyd,LB,41,28,5.79,12.2,70.8,-16.0,4243256,18.5,39.2,70.1,103.0,147.0
Deommodore Lenoir,CB,61,27,4.07,13.0,53.0,-16.0,4242488,19.5,36.2,53.7,71.3,89.9
Bills D/ST,DST,28,,7.07,17.0,120.3,-16.1,-16002,120.3,120.3,120.3,120.3,120.3
Cor'Dale Flott,CB,62,25,4.06,13.0,52.9,-16.1,4429607,22.5,35.5,53.2,70.1,88.9
KC Concepcion,WR,53,22,10.15,12.4,125.4,-16.2,4870653,125.9,125.9,125.9,125.9,125.9
Andy Borregales,K,26,24,8.49,14.7,124.6,-16.2,4569923,53.8,99.5,133.1,163.5,198.5
Jevon Holland,S,46,26,4.71,13.6,64.1,-16.2,4373809,26.5,46.1,66.3,85.5,108.2
Da'Shawn Hand,DT,98,31,1.48,10.7,15.8,-16.2,3126352,4.0,9.1,15.6,22.9,30.9
