nombre,pos,rank_pos,proj,baseline,vbd,espn_id,equipo
Mark Andrews,TE,12,177.4,164.4,13.0,3116365,33
Tyson Campbell,CB,6,102.9,90.2,12.7,4379397,5
Marvin Harrison Jr.,WR,33,207.4,194.8,12.6,4432708,22
Carson Schwesinger,LB,8,133.2,120.7,12.5,4876017,5
DaRon Bland,CB,7,102.5,90.2,12.3,4248911,6
Quinnen Williams,DT,4,62.8,50.7,12.1,4040982,6
Trent McDuffie,CB,8,102.1,90.2,11.9,4426405,14
Christian Gonzalez,CB,9,101.9,90.2,11.7,4686772,17
Budda Baker,S,3,110.7,99.3,11.4,3127287,22
T.J. Watt,DE,8,79.5,68.7,10.8,3045282,23
Aidan Hutchinson,DE,9,79.3,68.7,10.6,4372099,8
Eagles D/ST,DST,8,146.8,136.3,10.5,-16021,21
Derwin James Jr.,S,4,109.7,99.3,10.4,3691739,24
Jeremy Chinn,S,5,109.6,99.3,10.3,4043169,13
Jake Ferguson,TE,13,174.6,164.4,10.2,4242355,6
Ernest Jones IV,LB,9,130.7,120.7,10.0,4362851,26
Talanoa Hufanga,S,6,109.2,99.3,9.9,4360853,7
Jamien Sherwood,LB,10,130.4,120.7,9.7,4361331,20
Cooper DeJean,CB,10,99.8,90.2,9.6,4682618,21
Kam Curl,S,7,108.7,99.3,9.4,4242154,14
Jalen Pitre,CB,11,99.2,90.2,9.0,4241223,34
Jalen Redmond,DT,5,59.6,50.7,8.9,4360277,16
Harrison Butker,K,7,171.7,163.1,8.6,3055899,12
Cameron Heyward,DT,6,59.2,50.7,8.5,13977,23
Patriots D/ST,DST,9,144.7,136.3,8.4,-16017,17
Danielle Hunter,DE,10,77.1,68.7,8.4,2976560,34
Alex Highsmith,DE,11,77.0,68.7,8.3,4037333,23
Cam Little,K,8,171.2,163.1,8.1,4686361,30
Browns D/ST,DST,10,144.4,136.3,8.1,-16005,5
Kenyon Sadiq,TE,14,172.0,164.4,7.6,5083315,20
Quay Walker,LB,11,128.1,120.7,7.4,4379416,13
Chiefs D/ST,DST,11,143.6,136.3,7.3,-16012,12
Bears D/ST,DST,12,143.6,136.3,7.3,-16003,3
Xavier McKinney,S,8,106.3,99.3,7.0,4241470,9
Alex Singleton,LB,12,127.4,120.7,6.7,2612151,7
Jordyn Tyson,WR,34,201.0,194.8,6.2,4880281,18
Chris Boswell,K,9,169.1,163.1,6.0,17372,23
Nate Landman,LB,13,126.5,120.7,5.8,4243181,14
Byron Young,DE,12,74.2,68.7,5.5,4875196,14
Jordan Battle,S,9,104.7,99.3,5.4,4567098,4
Nick Folk,K,10,168.1,163.1,5.0,10621,1
Chargers D/ST,DST,13,141.3,136.3,5.0,-16024,24
Zach Harrison,DT,7,55.7,50.7,5.0,4426412,1
Nakobe Dean,LB,14,125.5,120.7,4.8,4426340,13
Ed Oliver,DT,8,55.4,50.7,4.7,4039303,2
