pick,ronda,team_id,equipo,espn_id,jugador,pos
86,6,11,Injury Report ,5083076,Harold Fannin Jr.,TE
87,6,3,Raw Dawg,4361307,Trey McBride,TE
88,6,16,el.ai.on,4431459,Tyler Warren,TE
89,6,4,Bolivia,3929645,Juwan Johnson,TE
90,6,15,Victorious Secret,3121023,Dallas Goedert,TE
91,6,2,Ayayay,4723086,Colston Loveland,TE
92,6,10,No Team for Old Men,4432665,Brock Bowers,TE
93,6,17,Guru Vibes Only,4361050,Isaiah Likely,TE
94,6,1,ComNich,4430027,Sam LaPorta,TE
95,6,7,Good Boy Tua,4242355,Jake Ferguson,TE
96,6,13,Ferchos,15847,Travis Kelce,TE
97,7,13,Ferchos,4036378,Jordan Love,QB
98,7,7,Good Boy Tua,4035538,David Montgomery,RB
99,7,1,ComNich,3046779,Jared Goff,QB
100,7,17,Guru Vibes Only,3917315,Kyler Murray,QB
101,7,10,No Team for Old Men,14880,Kirk Cousins,QB
102,7,2,Ayayay,3139477,Patrick Mahomes,QB
103,7,15,Victorious Secret,2578570,Jacoby Brissett,QB
104,7,4,Bolivia,3917792,Daniel Jones,QB
105,7,16,el.ai.on,4360689,Tyler Shough,QB
106,7,3,Raw Dawg,4241985,J.K. Dobbins,RB
107,7,11,Injury Report ,8439,Aaron Rodgers,QB
108,7,8,Back 2 Back,4426338,Bo Nix,QB
109,7,14,EZWAR,4685720,Bryce Young,QB
110,7,12,KeepMyTeamNameOuttaYoFMouth,4242512,Malik Willis,QB
111,7,9,Panamanian P!mps,4688380,Cam Ward,QB
112,7,18,Team 18,15864,Geno Smith,QB
113,8,18,Team 18,4035369,Jeffery Simmons,DT
114,8,9,Panamanian P!mps,2971282,DeForest Buckner,DT
115,8,12,KeepMyTeamNameOuttaYoFMouth,4035495,Derrick Brown,DT
116,8,14,EZWAR,4239699,Milton Williams,DT
117,8,8,Back 2 Back,4361366,Tommy Togiai,DT
118,8,11,Injury Report ,4039303,Ed Oliver,DT
119,8,3,Raw Dawg,4426694,Keeanu Benton,DT
120,8,16,el.ai.on,4360277,Jalen Redmond,DT
121,8,4,Bolivia,4381558,Jordan Davis,DT
122,8,15,Victorious Secret,4570040,Byron Murphy II,DT
123,8,2,Ayayay,4040982,Quinnen Williams,DT
124,8,10,No Team for Old Men,3044859,Chris Jones,DT
125,8,17,Guru Vibes Only,4685759,Jalen Carter,DT
126,8,1,ComNich,2971622,Leonard Williams,DT
127,8,7,Good Boy Tua,4039064,Malcolm Roach,DT
128,8,13,Ferchos,13977,Cameron Heyward,DT
129,9,13,Ferchos,4426473,Laiatu Latu,DE
130,9,7,Good Boy Tua,4875196,Byron Young,DE
131,9,1,ComNich,3045282,T.J. Watt,DE
132,9,17,Guru Vibes Only,4372099,Aidan Hutchinson,DE
133,9,10,No Team for Old Men,4037333,Alex Highsmith,DE
134,9,2,Ayayay,2976560,Danielle Hunter,DE
135,9,15,Victorious Secret,3052743,Trey Hendrickson,DE
136,9,4,Bolivia,4565190,Dallas Turner,DE
137,9,16,el.ai.on,4040605,Nick Bosa,DE
138,9,3,Raw Dawg,4431442,Tuli Tuipulotu,DE
139,9,11,Injury Report ,4685724,Will Anderson Jr.,DE
140,9,8,Back 2 Back,3122132,Myles Garrett,DE
141,9,14,EZWAR,3133487,Andrew Van Ginkel,DE
142,9,12,KeepMyTeamNameOuttaYoFMouth,3916655,Maxx Crosby,DE
143,9,9,Panamanian P!mps,4241986,Chase Young,DE
144,9,18,Team 18,4035631,Brian Burns,DE
145,10,18,Team 18,3138826,Fred Warner,LB
146,10,9,Panamanian P!mps,4429834,Cedric Gray,LB
147,10,12,KeepMyTeamNameOuttaYoFMouth,3728281,Blake Cashman,LB
148,10,14,EZWAR,3915189,Roquan Smith,LB
149,10,8,Back 2 Back,4876017,Carson Schwesinger,LB
150,10,11,Injury Report ,4043130,Jordyn Brooks,LB
151,10,3,Raw Dawg,4426340,Nakobe Dean,LB
152,10,16,el.ai.on,4362759,Nick Bolton,LB
153,10,4,Bolivia,4362851,Ernest Jones IV,LB
154,10,15,Victorious Secret,3050073,Foyesade Oluokun,LB
155,10,2,Ayayay,3919117,Azeez Al-Shaair,LB
156,10,10,No Team for Old Men,4379416,Quay Walker,LB
157,10,17,Guru Vibes Only,3917657,Zack Baun,LB
158,10,1,ComNich,4243181,Nate Landman,LB
159,10,7,Good Boy Tua,3129446,Robert Spillane,LB
160,10,13,Ferchos,4569465,Jack Campbell,LB
161,11,13,Ferchos,4431321,Dru Phillips,CB
162,11,7,Good Boy Tua,4248911,DaRon Bland,CB
163,11,1,ComNich,4682618,Cooper DeJean,CB
164,11,17,Guru Vibes Only,4360853,Talanoa Hufanga,S
165,11,10,No Team for Old Men,4426405,Trent McDuffie,CB
166,11,2,Ayayay,3126356,Marlon Humphrey,CB
167,11,15,Victorious Secret,4575431,Devon Witherspoon,CB
168,11,4,Bolivia,4249128,Quentin Lake,CB
169,11,16,el.ai.on,4685415,Travis Hunter,WR
170,11,3,Raw Dawg,4242547,Paulson Adebo,CB
171,11,11,Injury Report ,4241223,Jalen Pitre,CB
172,11,8,Back 2 Back,4379397,Tyson Campbell,CB
173,11,14,EZWAR,4369835,Alontae Taylor,CB
174,11,12,KeepMyTeamNameOuttaYoFMouth,4869523,Nick Emmanwori,CB
175,11,9,Panamanian P!mps,4686772,Christian Gonzalez,CB
176,11,18,Team 18,4602699,Kamari Lassiter,CB
177,12,18,Team 18,4428522,Tykee Smith,S
178,12,9,Panamanian P!mps,3925345,Minkah Fitzpatrick,S
179,12,12,KeepMyTeamNameOuttaYoFMouth,4575517,Kyle Hamilton,S
180,12,14,EZWAR,3919512,Jessie Bates III,S
181,12,8,Back 2 Back,4567098,Jordan Battle,S
182,12,11,Injury Report ,3691739,Derwin James Jr.,S
183,12,3,Raw Dawg,4361964,Chamarri Conner,S
184,12,16,el.ai.on,3127287,Budda Baker,S
185,12,4,Bolivia,4043169,Jeremy Chinn,S
186,12,15,Victorious Secret,4241470,Xavier McKinney,S
187,12,2,Ayayay,4046537,Joshua Metellus,S
188,12,10,No Team for Old Men,4034790,Antoine Winfield Jr.,S
189,12,17,Guru Vibes Only,-16021,Eagles D/ST,DST
190,12,1,ComNich,4242154,Kam Curl,S
191,12,7,Good Boy Tua,4043089,Jalen Thompson,S
192,12,13,Ferchos,4426403,Nick Cross,S
193,13,13,Ferchos,-16016,Vikings D/ST,DST
194,13,7,Good Boy Tua,-16007,Broncos D/ST,DST
195,13,1,ComNich,-16030,Jaguars D/ST,DST
196,13,17,Guru Vibes Only,17372,Chris Boswell,K
197,13,10,No Team for Old Men,-16033,Ravens D/ST,DST
198,13,2,Ayayay,-16024,Chargers D/ST,DST
199,13,15,Victorious Secret,-16026,Seahawks D/ST,DST
200,13,4,Bolivia,-16005,Browns D/ST,DST
